FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
204,"寄","draw near",2017-12-12 14:57:48,2019-01-21,8,1,12
205,"富","wealth",2018-06-20 20:15:30,2018-07-16,5,4,15
206,"貯","savings",2018-07-05 03:16:31,2018-07-20,4,7,15
207,"木","tree/き",2018-03-29 17:22:59,2019-04-14,8,0,8
208,"林","grove",2018-05-20 01:35:35,2019-01-29,8,0,8
209,"森","forest/もり",2018-03-17 05:38:01,2019-03-31,8,0,8
210,"桂","Japanese Judas-tree",2018-02-15 19:42:37,2018-10-02,8,1,8
211,"柏","oak",2018-01-25 19:35:51,2018-10-14,8,1,8
212,"枠","frame",2018-06-16 11:59:52,2018-07-02,4,1,10
213,"梢","treetops",2018-05-21 03:25:15,2019-01-19,8,1,8
214,"棚","shelf/たな",2018-06-20 20:23:49,2018-07-07,4,1,10
215,"杏","apricot",2018-06-22 09:23:41,2018-07-14,4,2,12
216,"桐","paulownia(not wisteria)",2018-07-05 03:34:24,2018-08-07,5,2,10
217,"植","plant",2018-01-29 16:41:20,2018-11-12,8,2,12
218,"椅","chair",2018-01-26 19:44:26,2018-10-18,8,0,8
219,"枯","wither(not suffering)",2018-11-26 16:57:42,2018-12-29,5,3,11
220,"朴","crude",2018-06-22 09:23:41,2018-07-11,4,2,12
221,"村","village",2018-05-25 16:55:46,2019-03-06,8,1,8
222,"相","inter-",2018-07-06 06:06:21,2018-08-01,5,2,10
223,"机","desk",2018-05-28 05:26:44,2019-06-01,8,0,8
224,"本","book",2018-12-19 12:01:03,2020-01-26,8,0,8
225,"札","tag",2018-05-20 03:51:14,2019-05-25,8,0,8
226,"暦","calendar",2017-06-25 19:16:16,2018-07-15,8,1,7
227,"案","plan/あん. 内",2018-11-26 16:57:05,2018-12-19,5,7,14
228,"燥","parch",2018-05-23 07:11:48,2019-05-30,8,1,9
229,"未","not yet",2018-05-21 03:25:15,2019-06-03,8,0,8
230,"末","extremity",2018-06-05 00:43:04,2019-02-13,8,0,8
231,"昧","obscure",2017-11-30 17:47:07,2018-08-14,8,1,8
232,"沫","splash",2018-07-04 17:54:15,2018-07-20,4,2,14
233,"味","flavour",2018-05-30 01:04:16,2019-02-16,8,0,8
234,"妹","younger sister",2018-06-15 23:40:45,2019-02-14,8,0,8
235,"朱","vermilion",2018-05-25 05:10:40,2019-06-16,8,0,8
236,"株","stocks",2018-02-02 19:13:30,2018-10-27,8,0,8
237,"若","young",2018-07-05 03:16:31,2018-07-29,5,3,11
238,"草","grass",2018-06-20 21:18:38,2019-08-02,8,1,9
239,"苦","suffering",2018-02-06 17:57:27,2018-10-26,8,2,13
240,"苛","bullying",2018-02-27 20:10:08,2018-12-06,8,0,9
241,"寛","tolerant",2018-06-05 00:24:28,2019-03-10,8,5,13
242,"薄","dilute",2018-12-04 10:52:01,2018-12-17,4,1,9
243,"葉","leaf",2018-05-28 05:26:44,2019-06-14,8,1,10
244,"模","imitation/miniature/maqueta",2017-07-06 23:26:53,2018-07-21,8,1,9
245,"漠","vague/boundless",2018-06-22 09:23:42,2018-07-05,4,1,10
246,"墓","grave",2018-02-01 20:54:07,2018-10-11,8,3,10
247,"暮","livelihood",2018-05-21 03:40:50,2019-01-20,8,1,8
248,"膜","membrane",2018-06-20 21:18:38,2019-03-13,8,0,8
249,"苗","seedling",2018-07-05 03:37:14,2018-07-17,4,2,10
250,"兆","omen",2018-05-28 05:32:53,2019-06-26,8,1,8
251,"桃","peach tree",2018-07-04 17:54:15,2018-07-15,4,2,10
252,"眺","stare",2018-05-21 04:42:09,2019-01-30,8,1,8
253,"犬","dog",2018-07-05 03:16:31,2019-07-29,8,0,8
254,"状","status quo",2018-06-01 00:50:27,2019-02-04,8,1,8
255,"黙","silence",2018-06-22 09:23:41,2018-07-07,4,3,14
256,"然","sort of thing",2018-07-05 03:16:31,2018-07-16,4,1,10
257,"荻","reed(not 蒲)",2018-06-22 09:23:41,2018-07-09,4,2,10
258,"狩","hunt",2017-07-20 15:29:35,2018-07-27,8,1,9
259,"猫","cat",2018-05-21 04:05:12,2019-05-17,8,0,8
260,"牛","cow",2018-05-28 05:26:44,2019-02-01,8,0,8
261,"特","special",2018-02-05 00:01:19,2018-09-28,8,2,10
262,"告","revelation",2018-05-29 02:56:23,2019-06-09,8,2,13
263,"先","before",2018-06-16 11:54:13,2019-02-13,8,0,8
264,"洗","wash",2018-07-05 03:16:31,2018-08-04,5,1,10
265,"介","jammed in",2018-11-26 16:57:42,2019-11-20,8,0,8
266,"界","world",2018-02-07 17:35:41,2018-10-15,8,2,8
267,"茶","tea",2018-05-29 02:21:30,2019-07-02,8,1,10
268,"脊","spinal column",2018-07-06 06:06:21,2018-08-22,5,1,10
269,"合","fit",2018-05-28 05:41:00,2019-06-20,8,1,8
270,"塔","pagoda",2017-11-01 21:42:06,2018-07-20,8,3,10
271,"王","king",2018-06-20 21:06:47,2018-07-30,5,1,10
272,"玉","round things/jewel",2018-07-06 06:06:21,2019-08-11,8,1,13
273,"宝","treasure",2018-05-25 16:55:47,2019-01-14,8,0,8
274,"珠","pearl",2018-11-26 16:57:42,2018-12-19,5,4,22
275,"現","present",2018-01-23 17:12:45,2018-09-29,8,1,8
276,"玩","toy",2018-01-25 19:27:17,2018-09-29,8,1,12
277,"狂","lunatic",2018-03-17 05:38:01,2018-11-20,8,0,8
278,"旺","radiance",2018-07-06 06:06:21,2018-08-05,5,3,10
279,"皇","emperor",2018-06-05 00:47:58,2019-02-18,8,1,8
280,"呈","display",2018-02-01 20:54:07,2018-10-12,8,2,12
281,"全","whole",2018-05-20 03:31:53,2019-06-08,8,1,10
282,"栓","plug",2018-05-28 05:26:44,2019-01-16,8,1,9
283,"理","logic",2018-07-05 03:16:31,2018-07-16,4,3,12
284,"主","lord",2018-07-05 03:40:19,2019-08-11,8,0,8
285,"注","pour",2018-05-25 16:55:46,2019-02-06,8,1,9
286,"柱","pillar",2018-07-05 03:16:31,2018-07-18,4,4,11
287,"金","gold",2018-05-29 02:21:30,2019-06-24,8,0,8
288,"銑","pig iron",2018-06-20 21:18:38,2018-07-05,4,2,10
289,"鉢","bowl",2018-01-26 19:14:34,2018-10-06,8,1,12
290,"銅","copper",2017-06-20 05:45:26,2018-07-13,8,0,8
291,"釣","angling",2018-12-04 11:01:10,2018-12-28,4,2,11
292,"針","needle",2018-07-05 03:34:24,2018-08-01,5,5,18
293,"銘","inscription",2018-12-04 10:32:55,2018-12-04,1,2,8
294,"鎮","tranquillize",2017-11-30 01:46:00,2018-07-28,8,1,8
295,"道","road-way",2018-01-23 17:12:45,2018-10-29,8,0,8
296,"導","guidance",2018-07-05 03:16:31,2018-07-18,4,1,10
297,"辻","crossing",2018-01-23 17:12:45,2018-09-22,8,0,8
298,"迅","swift",2018-12-04 11:01:10,2018-12-17,4,7,16
299,"造","create",2018-01-25 19:10:38,2018-09-27,8,2,8
300,"迫","urge",2018-03-17 05:38:01,2018-11-07,8,1,8
301,"逃","escape",2018-07-06 06:06:21,2018-08-14,5,3,11
302,"辺","vicinity/あた.り",2018-07-04 17:54:15,2018-07-20,4,1,10
303,"巡","patrol",2018-12-19 12:10:11,2020-01-05,8,0,8
304,"車","car",2018-02-22 19:19:33,2018-12-03,8,0,8
305,"連","take along",2018-03-17 05:38:01,2018-11-12,8,3,13
306,"軌","rut",2017-07-04 07:48:15,2018-07-26,8,1,8
307,"輸","transport",2018-06-11 06:33:04,2019-03-10,8,1,13
308,"喩","metaphor",2018-05-28 05:41:00,2019-07-08,8,0,8
309,"前","in front/まえ",2018-07-06 06:06:21,2019-08-21,8,0,8
310,"煎","roast",2018-07-04 17:54:15,2018-07-21,4,2,10
311,"各","each",2018-05-28 05:41:00,2019-07-09,8,3,18
312,"格","status",2018-05-29 02:21:30,2019-05-31,8,2,13
313,"賂","graft/mordida",2018-02-27 20:10:08,2018-10-23,8,2,12
314,"略","abbreviation",2018-05-23 07:11:48,2018-08-17,6,2,12
315,"客","guest",2018-05-22 01:17:19,2019-07-01,8,1,10
316,"額","forehead/ひたい",2018-12-19 12:32:27,2019-08-07,8,2,10
317,"夏","summer",2018-06-22 09:23:41,2018-07-08,4,4,10
318,"処","dispose",2018-05-25 05:10:41,2019-06-15,8,2,10
319,"条","article",2018-05-20 04:36:44,2018-08-25,6,5,16
320,"落","fall",2018-02-06 17:53:32,2018-09-22,8,2,12
321,"冗","superfluous",2018-07-06 06:06:21,2019-07-25,8,1,12
322,"冥","hell",2018-07-04 17:54:15,2018-07-18,4,2,10
323,"軍","army",2018-01-29 16:29:03,2018-10-28,8,1,12
324,"輝","centellar",2018-12-04 11:01:10,2018-12-07,2,10,17
325,"運","carry",2018-01-25 20:08:30,2018-10-27,8,2,8
326,"冠","crown",2018-05-25 16:55:46,2018-08-22,6,4,15
327,"夢","dream",2018-06-22 09:23:42,2018-07-05,4,3,10
328,"坑","pit",2018-07-04 20:10:01,2018-07-17,4,3,10
329,"高","tall/expensive",2017-08-08 06:39:28,2018-07-20,8,1,10
330,"享","receive/catch",2018-11-26 08:52:04,2018-11-26,1,3,8
331,"塾","cram school",2018-12-04 10:32:55,2018-12-11,3,3,13
332,"熟","ripe/madurar/mellow/mature",2018-12-04 10:32:55,2018-12-05,2,5,8
333,"亭","pavilion",2018-05-25 05:10:40,2019-06-22,8,3,9
334,"京","capital",2018-12-19 12:10:11,2019-12-14,8,0,8
335,"涼","refreshing/すずしい",2018-02-01 20:47:07,2018-11-05,8,2,12
336,"景","scenery",2018-05-25 05:10:40,2019-05-31,8,1,8
337,"鯨","whale",2018-03-29 17:22:59,2018-12-26,8,0,8
338,"舎","cottage",2018-02-22 19:19:33,2018-10-26,8,2,13
339,"周","circumference",2018-05-21 03:40:50,2019-05-27,8,0,8
340,"週","week",2018-07-05 03:37:14,2019-04-19,8,0,8
341,"士","gentleman",2018-05-29 02:56:23,2019-06-22,8,0,8
342,"吉","good luck",2018-12-19 12:27:18,2018-12-23,2,1,7
343,"壮","robust",2018-02-06 17:53:32,2018-09-23,8,1,12
344,"荘","villa",2017-07-06 23:26:53,2018-07-23,8,1,7
345,"売","sell",2018-12-19 12:32:27,2018-12-21,2,2,7
346,"学","study/がく",2018-06-05 00:32:18,2019-06-03,8,1,9
347,"覚","memorize/(おぼ)える",2018-12-19 12:27:18,2020-01-18,8,0,8
348,"栄","flourish",2018-12-04 10:23:52,2018-12-09,3,4,10
349,"書","write",2018-05-25 16:55:46,2019-02-12,8,1,8
350,"津","haven",2018-07-05 03:37:14,2019-04-08,8,0,8
351,"牧","breed",2018-05-25 05:10:41,2018-05-25,1,2,8
352,"攻","aggression",2018-06-20 21:21:10,2018-06-20,1,3,8
353,"敗","failure",2017-07-20 15:29:02,2018-07-18,8,0,7
354,"枚","sheet (count.)",2018-07-06 06:06:22,2019-06-30,8,1,8
355,"故","happenstance",2018-12-19 12:32:27,2019-12-28,8,1,8
356,"敬","awe",2018-02-26 20:19:22,2018-12-07,8,1,8
357,"言","say",2018-06-24 03:37:05,2019-07-12,8,0,8
358,"警","admonish",2018-12-19 12:32:27,2019-09-15,8,0,8
359,"計","Project",2018-05-25 05:10:40,2018-05-25,1,1,7
360,"詮","aclarar",2018-12-19 12:32:27,2020-01-01,8,1,8
361,"獄","prison",2018-12-19 12:27:18,2018-12-23,2,1,7
362,"訂","revise",2018-06-11 07:33:51,2018-06-11,1,1,8
363,"訃","obituary",2018-06-11 06:40:34,2019-01-28,8,0,8
364,"討","chastise",2018-05-25 05:10:41,2019-05-24,8,5,17
365,"訓","instruction",2017-11-22 14:41:40,2018-07-28,8,0,8
366,"詔","imperial edict",2018-06-20 21:12:00,2018-06-20,1,1,7
367,"詰","packed",2018-05-28 05:26:44,2019-02-23,8,2,9
368,"話","tale",2018-05-21 04:05:13,2019-07-10,8,0,8
369,"詠","recitation",2018-05-22 00:53:38,2019-07-12,8,2,9
370,"詩","poem",2018-12-19 12:27:18,2020-01-29,8,1,9
371,"語","language",2018-12-19 12:32:27,2020-01-19,8,0,8
372,"読","read/よむ",2018-07-05 03:16:31,2019-03-24,8,1,8
373,"調","tune",2018-05-23 07:11:46,2018-05-23,1,2,7
374,"談","discuss(not argument)",2018-12-04 10:52:01,2018-12-08,2,3,8
375,"諾","consent",2018-05-25 05:10:42,2019-03-09,8,1,8
376,"諭","reprimienda/PETA",2017-07-06 23:26:53,2018-07-15,8,0,7
377,"式","style",2018-03-29 17:22:59,2018-03-29,1,4,13
378,"試","test",2018-05-23 07:11:48,2018-05-23,1,2,7
379,"弐","II (two)",2018-05-21 03:48:35,2018-05-21,1,2,7
380,"域","range",2018-05-21 04:05:13,2018-05-21,1,9,15
381,"賊","burglar",2018-05-23 07:11:46,2018-05-23,1,1,7
382,"栽","plantation",2018-06-15 23:40:45,2019-03-06,8,1,8
383,"載","load",2018-06-20 21:12:00,2019-07-28,8,0,8
384,"茂","overgrown",2018-05-22 00:53:38,2018-05-22,1,4,10
385,"戚","relatives",2018-05-25 16:55:47,2018-05-25,1,3,11
386,"成","turn into",2018-06-05 00:37:39,2019-07-02,8,1,8
387,"城","castle",2018-05-28 05:26:44,2019-01-18,8,1,11
388,"誠","sincerity",2018-01-26 19:03:59,2018-01-26,1,3,11
389,"威","intimidate",2018-06-22 09:23:41,2018-07-31,5,4,18
